Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Category
7,99,Yes,9,1,91,Moderate
4,82,No,4,2,65,Moderate
8,51,Yes,7,2,45,Moderate
5,52,Yes,5,2,36,Moderate
7,75,No,8,5,66,Moderate
3,78,No,9,6,61,Moderate
7,73,Yes,5,6,63,Stressed Burnout
8,45,Yes,4,6,42,Stressed Burnout
5,77,No,8,2,61,Optimal Balance
4,89,No,4,0,69,Moderate
8,91,No,4,5,84,Stressed Burnout
8,79,No,6,2,73,Moderate
3,47,No,9,2,27,Moderate
6,47,No,4,2,33,Moderate
5,79,No,7,8,68,Optimal Balance
2,72,No,4,3,43,Moderate
8,73,Yes,8,4,67,Moderate
6,83,Yes,7,2,70,Optimal Balance
2,54,Yes,4,9,30,Moderate
5,75,No,7,0,63,Optimal Balance
1,99,Yes,4,3,71,Moderate
6,96,No,9,0,85,Moderate
9,74,Yes,7,6,73,Inefficient High Effort
1,85,No,5,6,57,Moderate
3,61,No,6,3,35,Moderate
7,62,Yes,7,4,49,Moderate
4,79,No,8,9,66,Optimal Balance
9,84,Yes,6,6,83,Inefficient High Effort
3,94,Yes,6,5,74,Moderate
5,90,Yes,4,3,74,Moderate
3,61,Yes,7,3,39,Moderate
7,44,Yes,9,1,36,Moderate
5,70,Yes,6,9,58,Moderate
9,52,Yes,8,1,47,Moderate
7,67,Yes,9,3,60,Moderate
2,97,Yes,9,4,74,Moderate
4,59,No,8,3,42,Optimal Balance
9,72,No,8,2,68,Moderate
2,55,Yes,4,1,32,Moderate
9,68,No,5,3,64,Stressed Burnout
5,62,No,7,4,45,Optimal Balance
2,63,Yes,6,0,39,Moderate
4,73,Yes,7,0,58,Optimal Balance
7,46,No,9,5,36,Moderate
8,77,Yes,6,4,71,Moderate
3,76,Yes,4,3,54,Moderate
1,43,Yes,7,0,17,Moderate
4,73,No,4,6,54,Moderate
2,81,Yes,4,3,58,Moderate
8,61,No,7,2,53,Moderate
4,44,Yes,7,6,27,Optimal Balance
2,89,Yes,6,1,65,Moderate
6,81,No,9,9,75,Moderate
6,62,Yes,9,0,52,Moderate
4,93,No,8,3,78,Optimal Balance
6,99,No,4,7,91,Moderate
2,54,Yes,9,5,33,Moderate
2,70,Yes,5,8,47,Moderate
4,98,No,6,0,78,Moderate
8,48,No,6,0,38,Moderate
7,82,Yes,8,4,70,Moderate
9,97,Yes,8,5,98,Moderate
8,92,Yes,4,7,87,Stressed Burnout
5,64,Yes,6,2,49,Moderate
2,64,Yes,6,5,41,Moderate
5,88,No,5,2,71,Moderate
8,60,No,4,7,54,Stressed Burnout
9,48,No,4,3,42,Stressed Burnout
9,94,No,9,1,91,Moderate
1,87,Yes,8,8,61,Moderate
9,77,No,9,9,74,Moderate
7,61,Yes,4,7,54,Stressed Burnout
9,82,Yes,5,5,81,Stressed Burnout
8,62,Yes,4,2,52,Stressed Burnout
1,88,Yes,9,1,65,Moderate
8,43,Yes,7,3,36,Moderate
8,68,No,7,3,61,Moderate
3,54,Yes,5,0,35,Moderate
1,40,Yes,8,8,15,Moderate
8,93,Yes,6,9,88,Moderate
3,69,No,4,7,45,Moderate
3,68,Yes,9,6,49,Moderate
1,59,Yes,8,5,33,Moderate
5,72,Yes,9,2,60,Moderate
7,80,No,8,3,71,Moderate
9,83,Yes,4,1,81,Stressed Burnout
7,75,No,6,6,67,Moderate
9,99,No,4,1,95,Stressed Burnout
8,61,Yes,6,9,58,Moderate
2,52,No,9,0,29,Moderate
1,46,No,5,5,21,Moderate
7,47,Yes,6,3,38,Moderate
7,67,Yes,8,7,60,Moderate
8,84,Yes,5,0,76,Stressed Burnout
5,82,Yes,9,8,69,Moderate
3,48,No,7,5,30,Moderate
8,64,No,5,1,57,Stressed Burnout
6,95,Yes,6,7,81,Moderate
3,55,Yes,5,4,36,Moderate
1,49,Yes,9,4,25,Moderate
3,50,No,5,4,27,Moderate
5,70,Yes,9,6,61,Moderate
3,51,No,7,6,34,Moderate
1,99,No,6,9,76,Moderate
5,70,No,8,6,57,Optimal Balance
7,53,No,5,9,45,Stressed Burnout
7,90,Yes,4,1,76,Stressed Burnout
9,83,Yes,8,7,83,Moderate
3,71,Yes,5,0,50,Moderate
7,89,No,8,1,81,Moderate
1,92,No,4,6,66,Moderate
4,56,Yes,8,3,38,Optimal Balance
4,74,No,8,9,56,Optimal Balance
5,40,No,4,9,25,Moderate
7,68,No,4,8,56,Stressed Burnout
7,90,Yes,4,8,82,Stressed Burnout
4,43,Yes,7,2,23,Optimal Balance
7,62,Yes,9,2,56,Moderate
3,67,No,9,8,46,Moderate
6,55,Yes,4,9,43,Moderate
2,51,Yes,9,7,30,Moderate
9,92,Yes,8,0,92,Moderate
5,60,No,4,5,45,Moderate
6,84,No,5,6,70,Moderate
4,56,No,4,7,36,Moderate
7,79,No,4,1,71,Stressed Burnout
9,52,No,9,0,49,Moderate
7,91,Yes,6,3,82,Moderate
1,97,Yes,8,0,71,Moderate
1,71,No,9,1,43,Moderate
9,76,No,8,2,77,Moderate
9,89,Yes,5,3,86,Stressed Burnout
4,54,No,7,5,34,Optimal Balance
9,51,No,6,7,49,Inefficient High Effort
3,88,No,5,8,69,Moderate
7,96,No,5,3,84,Stressed Burnout
6,54,No,8,0,41,Optimal Balance
8,73,Yes,6,4,68,Moderate
9,45,Yes,8,4,44,Moderate
5,56,No,7,8,41,Optimal Balance
1,87,No,8,5,58,Moderate
3,88,Yes,4,4,68,Moderate
8,96,No,8,9,94,Moderate
6,59,Yes,4,9,47,Moderate
8,48,No,5,4,40,Stressed Burnout
9,98,Yes,7,7,100,Inefficient High Effort
4,44,Yes,9,0,23,Moderate
1,62,No,4,4,36,Moderate
1,72,No,7,0,47,Moderate
4,77,Yes,8,6,60,Optimal Balance
7,95,No,9,6,83,Moderate
2,53,Yes,8,9,33,Moderate
3,56,No,5,7,36,Moderate
1,96,No,8,6,74,Moderate
5,58,No,4,8,42,Moderate
1,72,Yes,5,7,47,Moderate
8,40,Yes,7,7,31,Moderate
1,52,No,5,2,26,Moderate
1,85,Yes,7,9,58,Moderate
2,66,No,6,3,42,Moderate
2,45,Yes,4,3,18,Moderate
6,98,No,4,0,85,Moderate
7,45,Yes,7,5,36,Moderate
5,72,Yes,8,1,58,Optimal Balance
1,69,Yes,9,8,45,Moderate
1,85,Yes,8,0,60,Moderate
3,74,Yes,6,0,56,Moderate
2,62,Yes,7,9,42,Moderate
5,49,No,6,5,33,Moderate
6,90,No,7,0,77,Optimal Balance
7,58,Yes,6,2,51,Moderate
4,90,No,7,9,72,Optimal Balance
7,67,Yes,4,1,57,Stressed Burnout
8,62,No,6,8,53,Moderate
1,43,No,6,4,16,Moderate
6,59,No,7,5,45,Optimal Balance
8,58,No,5,1,49,Stressed Burnout
5,81,Yes,5,7,67,Moderate
4,66,No,4,5,49,Moderate
2,96,No,8,7,73,Moderate
6,73,No,8,7,65,Optimal Balance
6,43,Yes,4,0,27,Moderate
1,95,No,8,6,72,Moderate
9,77,Yes,9,1,74,Moderate
6,46,Yes,9,7,38,Moderate
3,87,No,9,1,67,Moderate
4,46,Yes,9,3,28,Moderate
4,89,No,7,1,73,Optimal Balance
3,91,No,5,6,72,Moderate
3,65,No,4,4,42,Moderate
3,65,No,7,8,47,Moderate
4,93,No,9,4,77,Moderate
7,58,No,4,7,49,Stressed Burnout
4,48,No,5,1,30,Moderate
9,59,Yes,8,2,54,Moderate
1,81,Yes,7,5,56,Moderate
8,84,No,5,6,75,Stressed Burnout
7,89,No,4,9,78,Stressed Burnout
2,55,Yes,6,7,32,Moderate
8,93,No,7,2,89,Moderate
1,56,Yes,4,6,29,Moderate
9,61,Yes,4,7,57,Stressed Burnout
9,52,No,5,9,48,Stressed Burnout
2,51,No,4,5,27,Moderate
7,49,Yes,7,3,38,Moderate
3,40,Yes,9,5,18,Moderate
7,71,No,7,8,66,Moderate
9,69,No,4,2,65,Stressed Burnout
4,47,Yes,5,1,27,Moderate
1,60,Yes,7,4,33,Moderate
2,61,Yes,6,6,37,Moderate
1,57,No,9,2,29,Moderate
5,41,No,8,4,26,Optimal Balance
5,87,No,5,3,72,Moderate
7,83,Yes,5,6,77,Stressed Burnout
9,48,Yes,8,1,45,Moderate
9,42,No,8,6,41,Moderate
3,93,Yes,7,1,73,Moderate
3,65,Yes,4,2,43,Moderate
3,60,Yes,4,4,39,Moderate
4,69,Yes,6,6,54,Moderate
8,67,Yes,9,5,62,Moderate
6,75,No,4,6,63,Moderate
8,65,No,6,5,59,Moderate
1,73,No,6,0,46,Moderate
8,47,No,5,4,42,Stressed Burnout
4,49,No,5,0,30,Moderate
1,87,Yes,9,6,63,Moderate
8,94,Yes,7,3,89,Moderate
4,82,Yes,8,4,62,Optimal Balance
6,89,No,8,0,77,Optimal Balance
8,93,Yes,9,7,88,Moderate
4,53,Yes,6,3,35,Moderate
3,79,Yes,9,2,60,Moderate
9,94,No,8,0,92,Moderate
3,54,Yes,6,3,38,Moderate
9,56,Yes,8,2,56,Moderate
2,92,No,7,7,70,Moderate
2,57,No,5,8,35,Moderate
2,71,Yes,5,4,47,Moderate
6,77,No,6,8,66,Moderate
3,62,Yes,9,0,43,Moderate
9,85,No,8,6,81,Moderate
4,62,Yes,4,6,43,Moderate
1,74,Yes,7,5,46,Moderate
4,78,No,8,3,61,Optimal Balance
1,54,No,4,8,27,Moderate
5,92,No,7,2,77,Optimal Balance
4,63,No,7,0,43,Optimal Balance
8,67,Yes,5,1,60,Stressed Burnout
8,55,No,6,2,48,Moderate
7,55,Yes,8,1,47,Moderate
3,79,Yes,7,5,60,Moderate
1,78,Yes,8,6,53,Moderate
1,45,No,7,4,19,Moderate
3,41,Yes,9,4,23,Moderate
6,93,Yes,5,6,81,Moderate
7,52,No,6,5,41,Moderate
6,83,Yes,4,7,71,Moderate
6,86,Yes,4,8,75,Moderate
6,98,Yes,9,1,89,Moderate
3,48,No,5,1,28,Moderate
6,73,Yes,7,0,60,Optimal Balance
8,56,Yes,5,6,54,Stressed Burnout
2,66,Yes,6,3,41,Moderate
5,68,No,4,8,52,Moderate
1,76,No,8,5,53,Moderate
1,82,No,4,6,52,Moderate
5,61,Yes,6,6,47,Moderate
3,90,Yes,7,7,71,Moderate
4,63,Yes,5,3,42,Moderate
3,46,Yes,4,2,21,Moderate
1,73,Yes,4,2,48,Moderate
1,87,No,8,9,64,Moderate
5,51,Yes,5,7,38,Moderate
6,62,Yes,8,2,49,Optimal Balance
3,54,No,8,7,35,Moderate
9,72,No,7,1,73,Inefficient High Effort
5,96,Yes,4,4,81,Moderate
